name,stand,country,description,sectors
Adria Business & Technology,"16C-40, Hall 16",Morocco,"Adria Business & Technology is a leading Moroccan technology company founded in 2013 in Casablanca, dedicated to accelerating digital transformation in the financial services sector. With strong exper",Cloud Services; Digital Finance; Coding and Development; Artificial Intelligence; Blockchain; Data Analytics / Big Data / IoT; Card Service Card; Billing / Invoicing Software; Big Data / Digitisation / Analytics; Banking Solutions
AEQO Technologies,"23C-33, Hall 23",Morocco,"AEQO Technologies is a Moroccan technology and software company building useful digital products that address real everyday needs. We combine product thinking, design, engineering, and data to create ",Digital Finance; Wealth Management Software; Education & Training; Big Data / Digitisation / Analytics; Asset Management / Personal Finance / Wealth Management
Afdal,"TBC, TBC",Morocco,"AFDAL is Morocco's leading AI-powered MortgageTech company, providing banks with a suite of 10 modular white-label SaaS solutions covering the full mortgage lifecycle â from simulation to disburseme",Artificial Intelligence; PropTech; Digital Finance; Marketplaces; Lending & Mortgage Tech; Open Banking / API; Lending / P2P Lending; Digital Lending; Core Banking Solutions; Banking Solutions
Afric TRUST,"11C-20, Hall 11",Morocco,Qualified Trusted services provider PscO,Cyber security; Digital Finance; E-KYC; Cryptography
African Water-Tech Champion,"23D-21, Hall 23",Morocco,"ADEP Group is a Moroccan engineering company specialized in the design, manufacturing, and deployment of decentralized wastewater treatment systems. The company develops compact and efficient micro-tr",AgriTech & FoodTech; Sustainability & Green Climate - Tech; Water Management; Climate-Smart Agriculture; Food & Agriculture - Food & Water Processing; Environmental Solutions - Water
AFRIMOBILITY,"20C-60, Hall 20",Morocco,"Afriquia SMDC is one of Morocco's leading companies in the distribution of petroleum products and lubricants. As a subsidiary of the Akwa Group, one of North Africa's most prominent conglomerates, Afr",
Agence de Developpement du Digital - #ADD,"Sponsorship, Sponsorship",Morocco,,
Agenz,"22D-36, Hall 22",Morocco,"Agenz is a data-driven proptech platform streamlining Moroccoâs real estate market through technology, data, and market insights",PropTech; Marketplaces; Listings & Brokerage Tech; Lending & Mortgage Tech; Data & Analytics; CRM
AGIRH,"4A-9, Hall 4",Morocco,"AGIRH is a comprehensive, AI-driven Human Resources Information System &#40;HRIS&#41; designed to help organizations digitize, optimize, and secure their HR processes. With over 25 years of expertise ",Software Services; HR Tech
AGRIDIA,"TBC, TBC",Morocco,"Agridia is an AI-powered farm management platform built for the 60 million smallholder farmers across Morocco and Africa who have been excluded from agricultural technology, not because solutions don'",Artificial Intelligence; Software Services; Big Data & Analytics; Coding and Development; AgriTech & FoodTech; Mobile Applications; Python; Devops; Frontend Development; Machine Learning
AgroConform,"TBC, TBC",Morocco,"Our platform combines predictive AI and digital simulation to help farmers optimize crop cycles and reduce water and chemical waste by up to 30%. At its core is ""The Book of Crop""  a DLT-powered ledge",Artificial Intelligence; Blockchain; AgriTech & FoodTech; Digital Finance; Smart Manufacturing; Digital Twin & Simulation; RegTech / Audit / Regulatory Compliance; InsureTech; E-Wallets; E-KYC
Agrogo,"22C-14, Hall 22",Morocco,Agrogo is a Moroccan AgriTech startup building an AI-powered smart farming platform focused on precision irrigation and fertigation. We combine IoT field devices  with a web application to give farmer,Artificial Intelligence; AgriTech & FoodTech; AI-optimized Hardware; Water Management; Smart Farming and Connectivity; IoT; Equipment for Vertical farming and Rooftop Farming; Digital control systems; Data Management; Cloud Solutions
AI CRAFTERS,"11D-40, Hall 11",Morocco,"AI Crafters is an innovation-driven company dedicated to making artificial intelligence accessible, practical, and impactful for businesses and individuals. The company designs and develops AI-powered",Artificial Intelligence; Chatbots / Virtual Assistant
Ai Studio Marketing,"23B-49, Hall 23",Morocco,"Studio Marketing is an AI-powered visual production suite designed for marketing teams to generate, edit, and animate professional 360-degree content instantly using natural language. By bridging the ",Artificial Intelligence; Content Creation
AI-Powered Gift Marketplace,"23B-22, Hall 23",Morocco,"Aimer is a vertically integrated, AI-powered gifting ecosystem that transforms traditional e-commerce into an intelligent, orchestrated experience. It combines a multi-vendor marketplace, proprietary ",Artificial Intelligence; Software Services; Coding and Development; Retail Tech; Ecommerce; Procurement Software; Mobility Enterprise Solutions; Mobile Applications; HR Tech; Finance & Accounting Software
AIRLOD Technology,"22C-13, Hall 22",Morocco,"Airlod Technology est un groupe spÃ©cialisÃ© dans le dÃ©veloppement de solutions innovantes basÃ©es sur la technologie NFC, conÃ§ues pour digitaliser les interactions et amÃ©liorer la performance des ",Artificial Intelligence; 5G & Telecommunications; 3D Printing & Printing Services; Big Data & Analytics; AgriTech & FoodTech; AI-optimized Hardware; AI & Nutrition; Agri-Data and Analytics; Adaptive Irrigation; Space Tech
Akkan,"TBC, TBC",Morocco,"Akkan is the first Moroccan fintech approved by Bank Al-Maghrib for CROWDFUNDING (DONATION AND LENDING, with or without interest). More than a platform, it is a complete ecosystem that connects projec",Digital Finance; Islamic Fintech / Shariya Compliant; Fund Raising and Investment; Crowd Funding
akkary,"22B-58, Hall 22",Morocco,"Akkary is a real estate rental management platform , it take the entire rental management value chain from searchig client to the end of a rent operation . <br />
for the features it offers : <br />
-",PropTech; Listings & Brokerage Tech; CRM
Al Akhawayn University,"4B-50, Hall 4",Morocco,"Founded by Royal Dahir, Al Akhawayn University opened its doors in January 1995,<br />
establishing itself as a pioneering institution dedicated to shaping Moroccoâs future leaders<br />
and those o",Artificial Intelligence; Digital Finance; Education & Training; Data Storage / Cloud / Smart Cities; Data Analytics / Big Data / IoT; Big Data / Digitisation / Analytics; Artificial Intelligence
Al Barid bank,"16D-70, Hall 16",Morocco,"Depuis sa crÃ©ation le 8 juin 2010, Al Barid Bank sâest imposÃ©e comme un acteur incontournable de lâinclusion financiÃ¨re et du dÃ©veloppement Ã©conomique au Maroc. Forte de son ancrage au sein d","Ecommerce; Web App, Design and Development"
Alexsys Solutions,"4C-30, Hall 4",Morocco,"Alexsys Solutions is a leading Moroccan technology company specialized in digital transformation for public and private sectors. With offices in Casablanca, Rabat and Paris, we deliver high-impact sol","Artificial Intelligence; Big Data & Analytics; Coding and Development; Cloud Services; Digital Finance; Data Governance, Compliance & Security; Data Architecture; Dashboard; Business Intelligence; Predictive APIs"
Alfia,"23C-25, Hall 23",Morocco,"ALFIA is a venture builder and platform infrastructure company serving the MENA startup ecosystem, headquartered in Oujda, Morocco with operations in Riyadh, KSA.<br />
We build and operate two integr",
ALGOSIGHT,"21B-28, Hall 21",Morocco,"ALGOSIGHT is an innovative technology company focused on delivering advanced digital payment and software solutions. We specialize in POS applications, payment acceptance technologies, transaction pro",Digital Finance; POS Machines & Payment Solutions
Alif Invest S.A,"22D-14, Hall 22",Morocco,"Alif Invest S.A. operates Alifcrowd (alifcrowd.org and alifcrowd.com ), a Moroccan collaborative finance platform licensed by Bank Al-Maghrib for loan and donation crowdfunding, with equity crowdfundi",Digital Finance; Crowd Funding
ALINA SOFT,"22D-15, Hall 22",Morocco,"Alina is a cloud-based retail infrastructure designed for African SMEs, enabling them to digitize and streamline their operations across B2C, B2B, and e-commerce. The platform combines POS, inventory ",Software Services; Retail Tech; Ecommerce; ERP (Enterprise Resource Planning) Software; Supply Chain & Logistics - ERP; Payments - POS Payments; Customer Experience & Retention - Loyalty Programmes; Customer Experience & Retention - CRM Systems; ERP / Business Management; eCommerce Software
ALKHADIM,"TBC, TBC",Morocco,"AlKhadim The 100% Moroccan ERP designed for SMEs that want to move fast.<br />
is the all-in-one management platform that centralizes all your operations","3D Printing & Printing Services; Design & Product Development - Simulation & Simulators; Design & Product Development - Industrial design; Design & Product Development - Engineering and part design; Design & Product Development - Drawing & Document Management; Digitization / services / tool and die making - Digitization and software; Digitization / services / tool and die making - Data and IT security, protection of intellectual property; Design & Product Development - Virtual, Augmented & Mixed Realities"
Alliance Insoft & Saphir Systems,"17A-3, Hall 17",Morocco,"Insoft and Saphir Systems operate as a strategic alliance delivering end-to-end digital transformation solutions across business and financial services.<br />
<br />
Insoft specializes in business aut",Cloud Services; Software as a Service - SaaS
ALTON S.A.R.L AU,"11D-40, Hall 11",Morocco,"ALTON is a consulting and integration firm specialized in IT transformation, IT Service Management (ITSM), and intelligent automation. The company supports organizations in structuring, modernizing, a",
Alvenia,"20D-58, Hall 20",Morocco,"Innovative mobile and web solutions.<br />
We deliver smart digital services tailored to business growth.",Coding and Development; Ecommerce; HealthTech; Future Mobility & Transportation; Software Services; Mobility Enterprise Solutions; Mobile Applications; Application integration and infrastructure; Community Health Services; Mobility As A Service - Maas
Alya,"TBC, TBC",Morocco,"Alya is Moroccoâs first Buy Now, Pay Later (BNPL) fintech operating with the regulatory green light and in full alignment with the local legal framework. It enables consumers to split purchases into",Digital Finance; Lending / P2P Lending; Digital Lending
AMANA CYBER DEFENSE SARL MOROCCO,"20B-83, Hall 20",Morocco,"amana cyberdefense company has been created by mr fouad kabila and mr noureddine  samim . ACD is Morocco's first all in one cybersecurity platform, entirelydeveloped in Morocco to ensure digital sover",Artificial Intelligence; 5G & Telecommunications; Big Data & Analytics; Blockchain; AgriTech & FoodTech; Web3 Applications; Training / Recruitment; Telecoms & Mobility; Intelligent Supply Chain; Security / Cybersecurity
AMCI (Morocco Agency for International Cooperation,"Agents / Organisers, Agents / Organisers",Morocco,,
AMDIE,"8B-20, Hall 8",Morocco,"The Moroccan Investment and Export Agency plays a driving role in the sectorial promotion of the Moroccan offer,<br />
contributes to the creation of added value and jobs, and strengthens competitiven",Gaming; HealthTech; Cloud Services; Data Centres; Government; Gaming Services; Connectivity; Cloud Management & Optimisation; Big Data & Analytics
AMEE,"11D-10, Hall 11",Morocco,The Moroccan Agency for Energy Efficiency (AMEE) is a national public agency operating under the supervision of the Ministry of Energy of Morocco. Established in 2016 following the restructuring of AD,
ANEF,"10B-15, Hall 10",Morocco,"Implement policies for sustainable forest and natural resource management, coordinate efforts to combat desertification, and support rural development",AgriTech & FoodTech; Sustainability & Green Climate - Tech; Green Productivity; Water Management; Sustainable Systems - Carbon Utilization
Anfa Solutions,"11D-20, Hall 11",Morocco,"Anfa Solutions/Group B2M is a Microsoft Gold Partner, helps businesses successfully deploy Dynamics 365 ERP and CRM solutions with agility, precision, and deep technical expertise. We guide organizati","3D Printing & Printing Services; Big Data & Analytics; Cloud Services; Solutions for component processing - Operation and Process Organizing Software (ERP, PPS, BDE); Applications including Development, Deployment & Design; Customer Relationship Management - CRM; Business Intelligence"
Annour Technologies,"7D-50, Hall 7",Morocco,"ANNOUR Technologies est une sociÃ©tÃ© d'ingÃ©nierie rÃ©seaux et tÃ©lÃ©coms spÃ©cialisÃ©e dans le domaine des rÃ©seaux, de la sÃ©curitÃ© et des services IP.<br />
<br />
Nous concevons et rÃ©alisons de","5G & Telecommunications; Cyber security; Networking & Infrastructure; Digital Forensics & Incident Response; Cryptography; Cloud Security; Business Continuity & Disaster Recovery Planning; Authentication User, Biometric Authentication and PKI; Application Security, Testing & Control; Application integration and infrastructure"
ARchain,"22C-20, Hall 22",Morocco,"ARchain is a TrustTech platform that leverages blockchain technology to secure, authenticate, and verify digital documents. It addresses critical challenges in data integrity, traceability, and compli",Blockchain; Intelligent Supply Chain; Interoperability / System Integration; Identity / Trust / Authentication; Blockchain as a Service (BaaS)
Aress,"22B-77, Hall 22",Morocco,"Instead of engaging in huge expenses and paperwork hiring commercial resources, you now have the alternative to go to Aress.work and publish your commercial mission and get access to a community of qu",Artificial Intelligence; Cloud Services; Digital Finance; Creative Economy; Education Tech; Artificial Intelligence; Software; Recruitment; Professional Services; Platform as a Service - PaaS
Ark-x,"23B-79, Hall 23",Morocco,"Ark-x construit l'infrastructure humaine pour l'Ã©conomie numÃ©rique Ã  l'Ã¨re de l'IA.<br />
<br />
Ark-x forme, certifie et place les talents tech Ã  grande Ã©chelle. GrÃ¢ce Ã  un systÃ¨me fiable et",Artificial Intelligence; Education Tech; Educational Support & Other Service; Content development and design; Specialist learning systems; Talent and human capital management; Performance management; Learning strategy; Learning Improvement Tech & Devices; HR systems and services
Arrawi,"TBC, TBC",Morocco,Arrawi is an innovative edtech startup transforming how children engage with reading in the digital age. The platform offers interactive storytelling experiences that combine education and entertainme,5G & Telecommunications; Cloud Services; Incubator/Accelerator/Investment; Digital Finance; Education Tech; Complete School Setup Solution; Coaching and mentoring; Assessment and testing; Animation & Simulation; Cloud Solutions - Private and Public
ARTEMIS,"1E-10, Hall 2",Morocco,"For over three decades, Artemis has stood as the trusted partner for legal and tax professionals in Morocco. Our leadership is founded on an outstanding asset: a unique documentary heritage, the resul",
ARWA Solutions,"23B-26, Hall 23",Morocco,"ARWA Solutions is an AgriTech startup building an augmented agronomic decision system for African agriculture. We combine field data (soil, crop, climate), satellite insights, and AI models with human","Internet of Things (IOT); Artificial Intelligence; AgriTech & FoodTech; Sensors, Smart lighting; IoT Solutions; Artificial Intelligence; Predictive APIs; Chatbots / Virtual Assistant; Water Management; Smart Farming and Connectivity"
ASSAFAA BAYT Group,"15D-50, Hall 15",Morocco,"Assafaa Bayt Group, expert in all areas of real estate  is a leading actor inÂ real estate developmentÂ in the Marrakech-Safi region in Morocco.<br />
With proven expertise inÂ residential properties,","Smart Cities; 3D Printing & Printing Services; PropTech; Creative Economy; Apprenticeship, Training and Qualification; Building Technology & Innovation; Architecture - Design & Planning; Smart Homes & Buildings; Construction Tech; 3D/ AR / VR"
ASWAK BLADI,TBC,Morocco,WE are an online multitenant grocery delivery plateform that aims to digitalise the actual network of grocery sellers and empower them in order to better compete with actual online shoping offers pres,Digital Finance; Retail Tech; Ecommerce; Loyalty; Digital Lending; Payments - Cash Management; E-commerce & M-commerce - Social Commerce; E-commerce & M-commerce - Multi-Channel Solutions; E-commerce & M-commerce - Mobile Commerce; Customer Experience & Retention - Loyalty Programmes
ATAREC,"23B-71, Hall 23",Morocco,"ATAREC aims to reduce the environmental footprint and the energy bill of its customers by better valuing their assets with an optimized investment, thanks to its innovative solutions of energy efficie",Energy Tech; Smart Manufacturing; Sustainability & Green Climate - Tech; Environmental Solutions - Solar; Energy Transition - Smart Grid; Energy Transition - Energy Production; Industrial Software & Process Optimization; Industrial 3D Printing; Factory Automation; Energy Management & Sustainability
Atlantic Re,"8D-20 8E-2, Hall 8",Morocco,"Atlantic Re (anciennement la SociÃ©tÃ© Centrale de RÃ©assurance - SCR) est le leader marocain de la rÃ©assurance, ayant officialisÃ© son changement de nom en avril 2025 pour renforcer son expansion en",
Atlas Cloud Services,"13B-60, Hall 13",Morocco,"Atlas Cloud Services is the realization of a national vision to guarantee the digital sovereignty of the country. Subsidiary of Mohammed VI Polytechnic University, Atlas Cloud Services aims to be a ca",AgriTech & FoodTech; Cloud Services; 5G & Telecommunications; Big Data & Analytics; Blockchain; Software as a Service - SaaS; Private Cloud; Cybersecurity; Cloud Service Provider - CSP; Cloud Management Platform
Atlas Guardian,"20B-85, Hall 20",Morocco,"Atlas Guardian is an AI-powered Governance, Risk, and Compliance (GRC) platform. Our modular solution enables organizations to manage their entire GRC lifecycle within a single, integrated environment",Artificial Intelligence; Digital Finance; Regulatory Technology; RegTech / Audit / Regulatory Compliance; Optical character recognition (OCR); Natural Language Processing (NLP); Chatbots / Virtual Assistant
AtlasCyberAman,"6E-07, Hall 5",Morocco,"AtlasCyberAman is a Casablanca-based cybersecurity firm dedicated to helping Moroccan organizations build real, measurable security.<br />
What sets us apart is our dual expertise: a deep understandin","Cyber security; Legal, Regulations, Investigations & Compliance; Data Governance, Risk & Compliance; Business Continuity & Disaster Recovery Planning"
ATLASLOOP,"TBC, TBC",Morocco,"ATLAS LOOP is a B2B Cleantech marketplace revolutionizing the circular economy in Morocco. Today, 88% of industrial waste is landfilled, while local recyclers import expensive materials. The main bott",Software Services; Smart Manufacturing; Sustainability & Green Climate - Tech; Sustainable Systems - Recycling; Procurement Software; Data Analytics & Automation; Intelligent Supply Chain; Industrial Software & Process Optimization
atlasx,"22D-29, Hall 22",Morocco,AtlasX is a cloud-based ERP platform designed to help small and medium-sized businesses in Morocco digitize and streamline their operations. The platform provides an all-in-one solution to manage sale,"Cloud Services; Software as a Service - SaaS; Platform as a Service - PaaS; Business Continuity, Back-up & Disaster Recovery; Applications including Development, Deployment & Design"
Attijariwafa bank,"16B-40, Hall 16",Morocco,"FondÃ© en 1904,<br />
le groupe Attijariwafa bank accompagne depuis plus de 120 ans le <br />
dÃ©veloppement Ã©conomique du Maroc en jouant un rÃ´le dÃ©terminant <br />
dans la modernisation du secteu",Digital Finance; E-Wallets; E-Payment Solutions; Digital Payment; Card Service Card; Banking Solutions
AUSIM,"9E-7, Hall 9",Morocco,"AUSIM, une association engagÃ©e pour le dÃ©veloppement des SI et du Digital au Maroc.<br />
<br />
LâAssociation des Utilisateurs des SystÃ¨mes dâInformation au Maroc (AUSIM) est une association Ã",
Autohouse - autohouse.ma,"22C-38, Hall 22",Morocco,"AutoHouse.ma is Morocco's first data-driven automotive marketplace, replacing guesswork with a proprietary fair-price algorithm built on live market data.<br />
Buyers get instant, transparent value s",Future Mobility & Transportation; Software Services; Incubator/Accelerator/Investment; Ecommerce; Mobility Enterprise Solutions; Mobile Applications; Data Analytics & Automation; V-Commerce & Dealer Commerce; Platforms; eCommerce Software
AUTOMATIC ID,"11A-06, Hall 11",Morocco,"Lecteurs code Ã  barres, Scanners<br />
Terminaux de saisie portables (PDA)<br />
Imprimantes Thermiques (Industrielles, de Bureau, Mobile)<br />
Tablettes Industrielles<br />
RFID<br />
RÃ©seau WIFI<","Software Services; Consumer Tech, Smart Home & Smart Workplace; Education Tech; Ecommerce; Tablets / Laptops; Printing Solutions; Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc); Mobility Enterprise Solutions; Enterprise Solutions / ERP / CRM; Supply Chain Solutions"
AWARINO,"6E-08, Hall 5",Morocco,Awarino is a cybersecurity awareness and human-risk management company focused on helping organizations strengthen their resilience against evolving cyber threats. The company addresses the human and ,Cloud Services; Ecommerce; Cyber security; Blockchain; Ransomware; Phishing; Security / Cybersecurity; Training or Recruitement; Software as a Service - SaaS; Cybersecurity
Axians,"3B-30,3A-1A, Hall 3",Morocco,"Axians understands the challenges of information and communication technologies (ICT) for both the general public and businesses. We design tailored solutions for each sector â whether healthcare, t",5G & Telecommunications; Cyber security; HealthTech; Internet of Things (IOT); Networking & Infrastructure; Switches; Storage Facilities; Storage Area Networks; Routers; Repeaters
B-connect Aabakira,"TBC, TBC",Morocco,"Its vision is to become Africa's leading digital cooperative ecosystem, driving inclusive rural economic growth. Provides a tailored, all-in-one hybrid ecosystem combining e-consulting and SaaS tools.",Artificial Intelligence; Big Data & Analytics; Cloud Services; Incubator/Accelerator/Investment; Ecommerce; Applications; Robotic Process Automation; Natural Language Generation (NLG); Data Extraction; Content Creation
Bassidi et Nana,"23B-80, Hall 23",Morocco,"Bassidi & Nana is a Moroccan HeritageTech house dedicated to preserving and transmitting cultural heritage to new generations through innovative, engaging formats. Founded by a mother and daughter, th",Education Tech; Video for learning; Educational Support & Other Service; Content libraries; Content development and design
Baya,"22C-40, Hall 22",Morocco,Baya is an innovative platform focused on reducing food waste by connecting businesses with surplus products to consumers through discounted âanti-wasteâ bags. Our mission is to make quality food ,"Media, Marketing & Advertising Tech; Software Services; AgriTech & FoodTech; Digital Finance; Sustainability & Green Climate - Tech; Sustainable Systems - Recycling; Mobile Applications; Sustainability & Green Economy; E-Commerce Solutions; Food Losses & Waste"
BeeNet SARL,"7C-50, Hall 7",Morocco,"We' vebeen around since 2019 with a vision to <br />
provide cutting-edge solutions that meet the evolving <br />
needs of the modern world.<br />
Weoffer innovative solutions to create sustainable <b",Energy Tech; Networking & Infrastructure; Cyber security; Artificial Intelligence; 5G & Telecommunications; Solar Energy; Smart Grids; Energy Storage Technologies; Energy Storage Systems; Components for Equipment for Energy Storage Systems
Benbar ERP,TBC,Morocco,"Benbar IngÃ©nierie et Conseil is an innovative Moroccan startup dedicated to transforming the construction (BTP) sector through advanced digitalization. Our flagship product, BENBAR ERP, is a speciali",Cloud Services; Coding and Development; Artificial Intelligence; Big Data & Analytics; Blockchain; AR/VR/MR; R Programming; Natural Language Processing - NLP; Machine Learning; IoT
Berexia Digital,"13C-15, Hall 13",Morocco,"Berexia est une sociÃ©tÃ© internationale de conseil et de services en technologies de lâinformation, spÃ©cialisÃ©e dans la transformation digitale et lâinnovation technologique. Elle accompagne le",Artificial Intelligence; Big Data & Analytics; Blockchain; Coding and Development; Cloud Services; Web Development; Python; Operating Systems Development; Java; Frontend Development
Berkeby,"TBC, TBC",Morocco,"Berkeby is an AI-powered education intelligence SaaS platform designed to transform how schools operate, make decisions, and support students. The platform unifies academic, attendance, behaviour, and","Cyber security; Artificial Intelligence; 3D Printing & Printing Services; Big Data & Analytics; Blockchain; Application Security, Testing & Control; Digitization / services / tool and die making - Data and IT security, protection of intellectual property; Neural Networks; Data Analytics; Data Governance, Compliance & Security"
Betterfly solutions,"TBC, TBC",Morocco,"Betterfly Solutions is a Moroccan SaaS company based in Casablanca, specializing in QHSE (Quality, Health, Safety & Environment) digital management. With +19 years of expertise, we help organizations ",Artificial Intelligence; Coding and Development; Cloud Services; Data Centres; Sustainability & Green Climate - Tech; ESG Business Services - Reporting Tools; ESG Business Services - Platform; Consultancy; Enterprise Applications; Artificial Intelligence
BKSM,"20D-56, 20D-57, Hall 20",Morocco,"BKSM, basÃ©e Ã  Casablanca depuis 2012, est une sociÃ©tÃ© spÃ©cialisÃ©e dans les solutions de digitalisation de la logistique et de la supply chain. Elle agit en tant quâÃ©diteur et intÃ©grateur de ","Quantum & High Performance Computing; Cloud Services; Metaverse, Immersive Tech; Internet of Things (IOT); Big Data & Analytics; Software & Algorithm Developers; Web3 Applications; RFID, Security; Web Hosting; Dashboard"
Black Excellence Innovation,"20D-129, Hall 20",Morocco,"A community of experts and opportunities for Sub-Saharan students and aspiring entrepreneurs in Morocco, with variety of services to foster innovation",Education Tech; Coaching and mentoring; Management and business skills; Organisational strategy and development
Blink iT Solutions,"7D-50, Hall 7",Morocco,"Blink iT Solutions est un Distributeur Ã  Valeur AjoutÃ©e (VAD) spÃ©cialisÃ© dans les technologies de lâinformation et la sÃ©curitÃ© informatique. Nous accompagnons les VARs, intÃ©grateurs et revend","Cyber security; Data Centres; Telecommunication & Network Security; Network & Infrastructure Security; Legal, Regulations, Investigations & Compliance; Intrusion Detection & Penetration Testing; Internet of Things (IoT) Security; Endpoint Protection & Mobile Security; Digital Forensics & Incident Response; Data Governance, Risk & Compliance"
Blink: Where Data Meets Pharma,"TBC, TBC",Morocco,"Blink Pharma develops next-generation, evidence-based health software. Our Pharmacy AI Companion acts as a true digital assistant for pharmacists, supporting daily operations with intelligent insights","HealthTech; Media, Marketing & Advertising Tech; Artificial Intelligence; Big Data & Analytics; Cloud Services; Software as a Service - SaaS; Hosting; Analytics as a service; Chatbots / Virtual Assistant; Autonomous Mobile Robots (AMRs)"
